edge_type_id target_model_id target_label source_label weight_max weight_func weight_sigma distance_range target_sections delay params_file
170 486110216 e5Rbp4 i6Pvalb 0.000736681634855 DirectionRule_others 90.0 "[0.0, 50.0]" "[""somatic"", ""basal"", ""apical""]" 0.9 GABA_InhToExc.json
171 487664663 e5Rbp4 i6Pvalb 0.00015111610268 DirectionRule_others 90.0 "[0.0, 50.0]" "[""somatic"", ""basal"", ""apical""]" 0.9 GABA_InhToExc.json
172 471129934 e5Rbp4 e4Scnn1a 0.00103795967626 DirectionRule_EE 30.0 "[0.0, 1e+20]" "[""basal"", ""apical""]" 1.5 AMPA_ExcToExc.json
173 471143169 e5Rbp4 e4Scnn1a 0.000443089645267 DirectionRule_EE 30.0 "[0.0, 1e+20]" "[""basal"", ""apical""]" 1.5 AMPA_ExcToExc.json
174 471758398 e5Rbp4 e4Scnn1a 0.0006198463559269999 DirectionRule_EE 30.0 "[0.0, 1e+20]" "[""basal"", ""apical""]" 1.5 AMPA_ExcToExc.json
175 471767045 e5Rbp4 e4Scnn1a 0.000794301297115 DirectionRule_EE 30.0 "[0.0, 1e+20]" "[""basal"", ""apical""]" 1.5 AMPA_ExcToExc.json
176 485574832 e5Rbp4 e4Scnn1a 0.000835992146815 DirectionRule_EE 30.0 "[0.0, 1e+20]" "[""basal"", ""apical""]" 1.5 AMPA_ExcToExc.json
177 485835055 e5Rbp4 e4Scnn1a 0.000647903145051 DirectionRule_EE 30.0 "[0.0, 1e+20]" "[""basal"", ""apical""]" 1.5 AMPA_ExcToExc.json
178 485880739 e5Rbp4 e4Scnn1a 0.0007721614098510001 DirectionRule_EE 30.0 "[0.0, 1e+20]" "[""basal"", ""apical""]" 1.5 AMPA_ExcToExc.json
179 486052980 e5Rbp4 e4Scnn1a 0.000897951825332 DirectionRule_EE 30.0 "[0.0, 1e+20]" "[""basal"", ""apical""]" 1.5 AMPA_ExcToExc.json
180 486110216 e5Rbp4 e4Scnn1a 0.000688643322757 DirectionRule_EE 30.0 "[0.0, 1e+20]" "[""basal"", ""apical""]" 1.5 AMPA_ExcToExc.json
181 487664663 e5Rbp4 e4Scnn1a 0.000890493189227 DirectionRule_EE 30.0 "[0.0, 1e+20]" "[""basal"", ""apical""]" 1.5 AMPA_ExcToExc.json
182 471129934 e5Rbp4 i23Pvalb 7.838888615299999e-05 DirectionRule_others 90.0 "[0.0, 50.0]" "[""somatic"", ""basal"", ""apical""]" 0.9 GABA_InhToExc.json
183 471143169 e5Rbp4 i23Pvalb 1.11237593421e-05 DirectionRule_others 90.0 "[0.0, 50.0]" "[""somatic"", ""basal"", ""apical""]" 0.9 GABA_InhToExc.json
184 471758398 e5Rbp4 i23Pvalb 4.70591699995e-05 DirectionRule_others 90.0 "[0.0, 50.0]" "[""somatic"", ""basal"", ""apical""]" 0.9 GABA_InhToExc.json
